"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","東芝ロジスティクス","","14511810","\13,455,023\1,056,787"
"〃","JFE建材(株)","","733386",""
"〃","村岡運輸(株)","","1119000",""
"〃","梅田運輸","","535486",""
"〃","ネットワーク大阪","","107450","1月\25,7202月\81,730"
"〃","谷正運輸(株)","","1118240",""
"〃","(株)エーアイコーポレーション","","533060","1月\256,6302月\276,430"
"〃","(株)北新商会","東大阪市瓢箪山町17-2","429400","1月\224,4302月\204,970"
"〃","(株)note","大阪市中央区南久宝寺町1-3-8","164780",""
"〃","三井倉庫ロジ(株)","枚方市南中振3-3-1","44000",""
"〃","(株)フォワード","神戸市北区有野町有野80","15070","1月\15,070"
"〃","尼高運輸(株)","大阪市住之江区南港東4-5-23","63030",""
"〃","(株)京神物流","松原市天美我堂3-36","22000",""
"〃","水田運輸倉庫(株)","堺市西区浜寺石津町東1-1-15","18910",""
"計","","","19415622",""
