"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)エーエス","東京都墨田区堤通1-18-26","109050843",""
"〃","コマツエンジン油機事業部","福島県郡山市待池台1-1","32148470",""
"〃","(株)関ケ原製作所","岐阜県不破郡関ケ原町2067","13817900",""
"〃","ダイワ(株)","小松市今江町6-474","11774012",""
"〃","白山工業(株)","河北郡津幡町字浅田丙19","8471297",""
"〃","(株)前田製作所","長野市篠ノ井御弊川1095","7398278",""
"〃","(株)ネオックス","新潟県中魚沼郡津南町大字上郷子種新田150","5262425",""
"〃","(株)ウェルテクノ","富山市興人町2-62","4406109",""
"〃","高松機械工業(株)","白山市旭丘1丁目8番地","3771288",""
"〃","宇野歯車工業(株)","","2394920",""
"〃","(株)日本製鋼所広島","広島市安芸区船越南1-6-1","2383525",""
"〃","(株)小松SSエンジン油機事業","福島県郡山市待池台1-1","1846186",""
"〃","(株)柴田製作所","能美市寺井町ト12","1744435",""
"〃","イワフジ工業(株)","岩平県奥州市水沢区桜屋敷西5-1","1727271",""
"〃","(株)インフィニットニシ","白山市旭丘3丁目14番地","1588451",""
"〃","(株)新東","茨城県常総市岡田573","1577178",""
"〃","(株)ヤマテコーポレーション","神奈川県相模原市田名3879","1462010",""
"〃","森康(株)","小松市光町89-2","1189348",""
"〃","興野工業(株)","愛知県刈谷市神田町1-45","1174636",""
"〃","(株)ゼプロチュービング","静岡県駿東郡長泉町本宿707","1147077",""
"〃","その他","","7463933",""
"計","","","221799592",""
"未収入金","(株)シマムラ","金沢市観音堂町口152","1960606",""
"〃","北陸電力","","346076",""
"〃","ダイドードリンコ北陸","","33787",""
"合計","","","",""
