科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(有)ミナモト,南陽市元中山223-1,"618,112",
同上,(株)佐藤燃料店,西置賜郡白鷹町大字十王2841,"616,127",
同上,東舗工業(株),新庄市大字福田711-186,"608,773",
同上,角田商事(株),寒河江市越井坂町38-1,"605,000",
同上,(有)ヒワタシ工業,北村山郡大石田町横山365,"590,788",
同上,新庄市役所,新庄市沖の町10-37,"590,740",
同上,(有)セントラル企画,南陽市鍋田1835-1,"590,000",
同上,(株)伊藤造園土木,西置賜郡飯豊町椿2529,"589,068",
同上,ク二マイン(株),西村山郡大江町月布477,"589,050",
同上,高橋架設(株),村山市楯岡湯沢9-19,"583,154",
同上,(有)庄司林業,西村山郡大江町大字沢口842-12,"576,642",
同上,日本キャタピラー(同)新庄営業所,新庄市大字鳥越熊ノ沢2838-1,"571,021",
同上,(株)荒正,山形市成沢西1-10-6,"553,872",
同上,(有)ヒラサワ工業,山形市松山1-1-115,"546,179",
同上,(株)NICHIJO,北海道札幌市手稲区曙五条5-1-10,"543,819",
同上,(株)伊藤組,最上郡舟形町長沢306,"539,000",
同上,西河産業(株),山形市平久保40-5,"538,488",
同上,(株)小林建設,南陽市梨郷605-11,"535,645",
同上,(株)石川建設,最上郡大蔵村大字南山846-6,"530,000",
同上,その他,,"61,371,476",
計,,,"286,720,389",
未収入金,日本キャタピラー(同)山形営業所,天童市石鳥居2-1-91,"132,000",
,成沢製油(株),新潟県新潟市松島2-3-47,"9,900",
計,,,"141,900",
合計,,,"286,862,289",
