"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","東洋水産(株)生産部","東京都港区港南2-13-40","32415818",""
"〃","(株)日洋","東京都新宿区","6873984",""
"〃","ケイ低温フーズ(株)","兵庫県伊丹市北伊丹","6588000",""
"〃","(株)サンヨー堂関東甲信越","東京都墨田区錦糸1-5-14","5834022",""
"〃","(株)トライアルカンパニー","福岡県福岡市東区","5263920",""
"〃","(株)ウエハラ","群馬県哀甘楽郡下仁田町","4171953",""
"〃","加藤産業(株)中部","愛知県一宮市","3801600",""
"〃","(株)サンヨー堂大阪","大阪府守口市","3733436",""
"〃","加藤産業(株)東北","宮城県仙台市宮城野区扇町3-4","3654720",""
"〃","銀座ベルハウス(株)","埼玉県入間郡毛呂山町大谷木28-3","2730552",""
"〃","加藤産業(株)中四国","広島県広島市西区","2617920",""
"〃","(株)日本アクセス郡山","福島県郡山市","2562430",""
"〃","","","2356421",""
"〃","(株)サンヨー堂東京第一支店","東京都墨田区","2240691",""
"〃","加藤産業(株)北海道","北海道北広島市北の里52-8","2160000",""
"〃","国分(株)中部","愛知県名古屋市北区","1995989",""
"〃","国分(株)近畿","大阪府大阪市北区","1934089",""
"〃","カナカン(株)","石川県金沢市","1667804",""
"〃","ハウステンボス(株)","長崎県佐世保市ハウステンボス町5-3","1618444",""
"〃","(株)高野物産","東京都板橋区南町46-9","1504612",""
"〃","(株)日本アクセス埼玉","埼玉県北足立郡","1390584",""
"〃","長崎空港ビルディング","長崎県大村市","1259150",""
"〃","国分(株)東北","宮城県仙台市宮城野区榴岡5-1-35","1198453",""
"〃","(協)エイケイケイ","熊本県熊本市流通団地1-8(株)ハウディ内","1188302",""
