科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,米野建設,川西町上小松3964-2,"1,477,190",
売掛金,(株)藤島建設,川西町大字上小松2344-1,"1,449,701",
売掛金,共和コンクリート(株)福島支店,福島県郡山市桑野2-31-5,"1,429,934",
売掛金,工藤コンクリ一ト(株),河北町谷地字真木348,"1,405,901",
売掛金,(株)菊地組,米沢市直江町2-30,"1,299,727",
売掛金,(株)工ム・ケー・シィ,仙台市泉区明通4-5-16,"1,291,400",
売掛金,大林道路(株),山形市久保田1-4-33,"1,223,849",
売掛金,升川建設,河北町谷地甲1083,"1,216,600",
売掛金,阿部コンクリート(株),鶴岡市藤島字西細秋110,"1,212,992",
売掛金,(有)豊興,岩手県下閉伊郡山田町豊間根4-12,"1,100,946",
売掛金,まるか菅野建設(株),西川町海味町浦1367-1,"1,046,518",
売掛金,,,"1,015,757",
売掛金,千代田鋼材(株),東京都中央区入船3-5-10,"1,000,703",
売掛金,(株)米沢マ工タ,米沢市窪田町八幡堂1288-1,"912,538",
売掛金,(有)ユービック,仙台市若林区大和町5-26-1,"857,903",
売掛金,芳賀セメント工業(株),天童市金石段1716,"814,209",
売掛金,(株)石橋組,仙台市太白区柳生四丁目4-1,"794,497",
売掛金,沼田コンクリート工業(株),新庄市十日町5648-2,"754,094",
売掛金,(株)丸万コンクリート,新庄市十日町1564-2,"752,642",
売掛金,葉山建設(株),長井市成田823-6,"727,760",
売掛金,(有)保刈工業,山形市清住町2-1番45号,"665,742",
売掛金,(株)建図,寒河江市大字日田字五反208-13,"648,604",
売掛金,(有)柴田左官工業,寒河江市大字寒河江字塩水68-2,"539,220",
売掛金,(株)ケージー,川西町大字下小松2972-2,"501,600",
売掛金,その他個人,,"10,570,001",
売掛金,その他,,"6,737,380",50万円未満
合計,,,,
