科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(株)竹生家具興業,札幌市東区東雁来町376-2,632832,
〃,(有)今家具製作所,札幌市東区北46条東16丁目1-30,585119,
〃,(株)エルム電気商会,札幌市白石区中央3条3丁目97,576492,
〃,(株)ユニバーサルホーム,札幌市豊平区豊平1条10丁目,574936,
〃,(株)村田塗料店,札幌市北区新川西2条1丁目1-14,557249,
〃,三洋工業(株)北海道支店,札幌市白石区米里3条2丁目7-1,529474,
〃,(株)奥野工務店,札幌市白石区本通8丁目北6-7,528601,
〃,(株)キムラ,札幌市東区北6条東4丁目1-7,527591,
〃,(株)旭川プレカットセンター,上川郡東川町北町7丁目11-1,506000,
〃,(株)高橋建設,札幌市北区北23条西3丁目1-10,500990,
〃,昭和マテリアル(株),岩見沢市上幌向542-7,477417,
〃,(株)創和,札幌市豊平区西岡3条1丁目1-6,455400,
〃,シンコール(株),札幌市中央区南1条東6丁目1-1,428406,
〃,(有)スペース・プロ,札幌市手稲区新発寒4条5丁目3-8,421298,
〃,TOTO北海道販売(株),札幌市中央区北1条東10丁目15-46,420122,
〃,北欧建設(株),札幌市中央区北4条西20丁目2-1,378598,
〃,(株)新六商店,札幌市東区北8条東11丁目1-41,351086,
〃,大満建設(株),石狩市花川南5条5丁目156,338492,
〃,(有)総合リフォーム,札幌市白石区北郷7条9丁目6-7,337095,
〃,寿建設(株),札幌市手稲区前田13条10丁目5-23,308726,
〃,ウッドプランニング(株),札幌市西区発寒6条11丁目9-10,308132,
〃,(株)クワザワ工業,札幌市白石区中央2条7丁目1-1,306691,
〃,(株)中野銘木店,旭川市永山北1条8丁目37-1,282474,
〃,(株)サンユー,札幌市北区北9条西3丁目10-1,277752,
〃,(株)and craft,札幌市南区真駒内本町6丁目1-1,277728,
〃,(株)カワバタ札幌営業所,札幌市白石区米里2条4丁目8-35,277200,
計,,,,
