"名称(氏名)","所在地(住所)","期末現在高","摘要"
"アトム建販(株)","栃木県栃木市東町字吉原455-29","52800",""
"(有)飯島畜産機材サービス","前橋市荻窪町1255-7","99000",""
"(株)いけはた","前橋市五代町676-5","123200",""
"(株)イシダ横浜営業所","神奈川県横浜市西区浜松町10-22","165000",""
"五十鈴中央(株)青梅サービスセンター","東京都青梅市今井3-5-11","8800",""
"磯部機工(株)","安中市磯部2-13-1","1048300",""
"(株)ウォーターエージェンシー(東京)","東京都新宿区東五軒町3-25","385000",""
"ウブカタ資源(株)沼田事業所","沼田市屋形原町2113","33000",""
"英和(株)","高崎市東町9","121000",""
"SECエレベーター(株)","前橋市西善町620-5","33000",""
"荏原環境プラント(株)","東京都大田区羽田旭町11-1","5500",""
"FDK(株)ニッケル水素電池事業部","高崎市小八木町307-2","127600",""
"MSSステンレスセンター(株)","太田市下田島町1012","248820",""
"王子製鉄(株)","太田市新田反町町120","225500",""
"(有)小川精麦","安中市中宿30-2","176000",""
"(株)ガイアート白岡合材工場","埼玉県白岡町篠津834-4","3300",""
"神奈川柑橘果工(株)","神奈川県足柄上郡山北町岸716","3014000",""
"(株)金谷興油本社","太田市細谷336-1","35200",""
"(株)環境システムズ本社工場","高崎市倉賀野町3250-7","209000",""
"関東電化工業(株)渋川工場","渋川市渋川1497","12572340",""
"関東電化工業(株)本社","東京都千代田区丸の内2丁目3-2","1650000",""
"協和キリン(株)","高崎市萩原町100-1","379500",""
"共栄フード(株)北関東工場","伊勢崎市東上之宮町1625-2","27500",""
"(株)デリモ","埼玉県越谷市大沢3271","82500",""
"グリンリーフ(株)","利根郡昭和村赤城原844-12","38500",""
"群栄化学工業(株)","高崎市宿大類町700","7656550",""
"群馬明治(株)","前橋市飯土井町426-2","990000",""
"(株)群成舎","高崎市上並榎町129-1","46200",""
"高信化学(株)","高崎市大八木町801","630300",""
"小計","","",""
