"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)河内テック","柏原市大平寺1-13-44","773350",""
"売掛金","(有)フジマチック","大阪市平野区加美東6-11-12","771015",""
"売掛金","(株)パパス","神奈川県相模原市中央区田名3312","757941",""
"売掛金","アイグラフィックス(株)","東京都墨田区錦糸3-2-1","725781",""
"売掛金","(株)池上商店","大阪市東成区深江南2-18-11","714466",""
"売掛金","(株)東研機械製作所","交野市星田北4-32-10","699966",""
"売掛金","(株)布施阪村機械","東大阪市菱江6-11-19","679924",""
"売掛金","(株)タグチアシスト","岡山市北区平野562-1","679655",""
"売掛金","双葉テック(株)","堺市西区鳳東町6-624-9","678205",""
"売掛金","TMES(株)","東京都港区芝浦4-13-23","646519",""
"売掛金","ホーメイ商工(株)","門真市城垣町4-1","596476",""
"売掛金","長野油機(株)","神奈川県横浜市都筑区池辺町3920","585191",""
"売掛金","佐藤鉄工所(株)","八尾市太田新町5-111","584255",""
"売掛金","(株)協立化工","大阪府東大阪市新家2-8-26","573922",""
"売掛金","シミヅ産業(株)","大阪市西区立売堀2-5-23","557810",""
"売掛金","(株)西村製作所","神奈川県座間市小松原1-15-2","557183",""
"売掛金","(株)浪速電機製作所","東大阪市西堤学園町22-24","552622",""
"売掛金","関西金属工業(株)","八尾市太田新町7-76","513102",""
"売掛金","(株)ベルパック","大阪市生野区巽西4-7-8","507100",""
"売掛金","その他50万円未満少額ネット通販等","","86014073",""
"計","","","408214379",""
"未収入金","シミヅ産業(株)","大阪市西区立売堀2-5-23","1810300",""
"未収入金","東成税務署他","","1050600",""
"米収入金","関西電力(株)","大阪市北区中之島3-6-16","20255",""
"未収入金","(株)スーパーツール","大阪府堺市中区見野山158","12897",""
"計","","","2894052",""
"合計","","","411108431",""
