科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(有)三邦工務店,江別市緑ヶ丘9-19,30797695,
〃,(株)CtoCグループ,旭川市永山14条3丁目4-13,9888811,
〃,その他現金顧客,,9258249,
〃,渡辺パイプ(株),札幌市西区西野6条9丁目1-1,8911133,
〃,(株)リヨ・デ・ホーム,札幌市白石区北郷3条9丁目1-26,7064923,
〃,(株)クワザワ,札幌市白石区中央2条7丁目1-1,6200507,
〃,(株)ミツヤ,札幌市白石区北郷2条4丁目6-27,4408932,
〃,(株)ナガワ,札幌市東区東雁来3条1-1-12,4051212,
〃,(株)アートホーム,札幌市南区南30条西8丁目5-1,3775992,
〃,(株)国木ハウス,札幌市豊平区豊平2条11丁目1-24,3562411,
〃,(株)高橋総業,札幌市白石区北郷3条1丁目2-28,3456356,
〃,竹内建設(株),札幌市豊平区月寒東1条18丁目1-35,3410384,
,丸惣ウッド(有),札幌市東区北36条東7丁目1-7,3320220,
〃,(有)近藤産業,札幌市西区西野1条6丁目4-22,2738317,
〃,(有)ヤマト,札幌市白石区東米里2053-40,2545607,
,岩倉建材(株),札幌市豊平区豊平6条8丁目1-11,2537299,
〃,北日本産商(株),苫小牧市三光町5丁目24-20,2224464,
〃,(株)丹波屋,札幌市東区北6条東4丁目1-7,2203938,
〃,(株)札幌山水,札幌市西区八軒9条西5丁目2-12,2200287,
〃,(株)ホーマサトウ,札幌市白石区菊水7条4丁目1-17,2048625,
〃,池端住宅建設(株),札幌市北区新琴似7条10丁目2-11,1999533,
〃,北海広葉木材(株),札幌市白石区東札幌3条1丁目2-22,1955362,
〃,w(株),札幌市西区山の手2条12丁目10-1,1945658,
,月寒建材工業(株),札幌市清田区清田1条1丁目9-12,1927541,
〃,北見木材(株),札幌市手稲区曙2条3丁目2-20,1829641,
〃,大鎮キムラ建設(株),苫小牧市日吉町1丁目4番6号,1807377,
計,,,,
