"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"電子債権","東海プラントエンジニアリング(株)","愛知県名古屋市南区南陽通6-1","7788000",""
"電子債権","(株)ニチゾウテック","大阪府大阪市大正区鶴町2-15-26","3520000",""
"電子債権","(株)サンコービルド","福岡市博名区博多駅前1-31-17東宝住宅福岡ビル10F","1650000",""
"電子債権","その他","","5225501",""
"合計","","","18183501",""
"完成工事未収入金","(有)おおの商会","熊本県阿蘇市一の宮町中通775","18040000",""
"完成工事未収入金","(株)上組","福岡市中央区那の津3-2-10","16500000",""
"完成工事未収入金","(株)カンナ","千葉県市原市青柳北2-5-21","14300000",""
"完成工事未収入金","光進建設(株)","熊本県熊本市東区御領2-28-1","12507000",""
"完成工事未収入金","出光興産(株)","東京都千代田区大手町1-2-1","9119000",""
"完成工事未収入金","その他","","75872750",""
"合計","","","146338750",""
"売掛金/本社","東京製鐵(株)","東京都千代田区霞が関3-7-1霞が関東急ビル15F","253335494",""
"売掛金/本社","伊藤忠メタルズ(株)","東京都港区北青山2-5-1","99590381",""
"売掛金/本社","産業振興(株)","東京都千代田区神田小川町3-9-2","92652675",""
"売掛金/本社","(株)明星","熊本県菊池郡菊陽町津久礼2147-1","91567194",""
"売掛金/本社","エムエム建材(株)","東京都港区東新橋1-5-2汐留シティセンター17F・18F","73895962",""
"売掛金/本社","豊通マテリアル(株)","愛知県名古屋市中村区名駅4-4-10名古屋クロスコートタワー12階","65909952",""
"売掛金/本社","大阪製鐵(株)","大阪府大阪市大正区南恩加島1丁目9番3号","53303512",""
"売掛金/本社","(株)ナベショー","大阪府大阪市中央区南船場4丁目12番12号","44698652",""
"売掛金/本社","阪和興業(株)","大阪府大阪市中央区伏見町4丁目3番9号","28281963",""
"売掛金/本社","その他","","81231644",""
"合計","","","884467429",""
"売掛金/合志","(株)大晶","熊本県合志市福原3122-10","6162992",""
"売掛金/合志","その他","","14240666",""
"合計","","","20403658",""
"計","","","",""
