"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)大橋麻業JAPAN","奈良市神殿町709-1","630329",""
"売掛金","KBツヅキ(株)","大阪市北区梅田1-2-2大阪駅前第2ビル1504","951076",""
"売掛金","(株)KBテキスタイル","大阪市中央区安土町1-7-13トヤマビル2F","2746941",""
"売掛金","(有)コヤマインターナショナル","大阪市中央区本町4-5-6永光ビル601","1245183",""
"売掛金","興和(株)名古屋","名古屋市中区錦3-6-29","619894",""
"売掛金","コスモテキスタイル(株)","大阪市中央区久太郎町2-5-13","2787481",""
"売掛金","(株)幸和","東大阪市長田中3-2-29","1469920",""
"売掛金","山陽染工児島ファクトリー(株)","倉敷市児島上の町4-8-9","598400",""
"売掛金","柴屋(株)","大阪市中央区博労町1-2-1オーセンティック東船場","6107621",""
"売掛金","住商モンブラン(株)","大阪市中央区安土町1-7-3安土町野村ビル","4879918",""
"売掛金","セーレン(株)","大阪市中央区瓦町4-6-8大阪化学繊維会館6階","2517012",""
"売掛金","曽根富商事(株)","大阪市中央区博労町1-1-2","2019125",""
"売掛金","スタイレム瀧定大阪(株)","大阪市中央区備後町2-3-6","7379696",""
"売掛金","田村駒(株)","大阪市中央区安土町3-3-9","4231078",""
"売掛金","大和紡績(株)","大阪市中央区久太郎町3-6-8","1023696",""
"売掛金","(株)クラボウインターナショナル","大阪市中央区久太郎町2-4-31","9189767",""
"売掛金","大協テックス(株)","大阪市中央区久太郎町2-6-8","1078243",""
"売掛金","橘織物(株)","大阪府泉南郡熊取町大宮3-926-1","922382",""
"売掛金","豊島(株)浜松","浜松市中区砂山町355-4静銀あいおい砂山ビル6階","585618",""
"売掛金","双日ファッション(株)","大阪市中央区備後町1-5-2KDDビル5階","187074522",""
"売掛金","ニッシントーア・岩尾(株)","大阪市中央区久太郎町1-4-8ガーデンスクエアビル10F","3455717",""
"売掛金","野々口(株)","大阪市中央区北久宝寺町1-2-15","2441017",""
"売掛金","菱友商事(株)","福山市沖野上町4-3-28","15425827",""
"売掛金","堀商事(株)","名古屋市中村区竹橋町26-15","1007210",""
"売掛金","丸信商事(株)","東京都中央区東日本橋1-4-13","1058763",""
"売掛金","ミナミ(株)","大阪市福島区福島5-17-7","534426",""
"計","","","",""
