科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)やまびこ,東京都青梅市末広町1-7-2,"53,611,451",
売掛金,(株)晃立,神奈川県茅ヶ崎市小桜町7-31,"2,939,340",
売掛金,ヤマヨ測定機(株),東京都足立区足立2-23-13,"2,136,820",
売掛金,(株)ヤマト環境技術研究所,神奈川県愛甲郡愛川町中津4008,"3,443,552",
売掛金,三昌工業(株),東京都世田谷区上馬1-34-17,"2,131,780",
売掛金,(株)橘田生産工業所,神奈川県平塚市西八幡1-3-5,"3,588,731",
売掛金,ヤマシンフィルタ(株),神奈川県横浜市神奈川区西神奈川1-11-5,"12,584,332",
売掛金,AGCテクノグラス(株),東京都江東区亀戸1-42-20,"4,246,576",
売掛金,大丸工業(株),東京都台東区蔵前1-6-4,"2,643,643",
売掛金,(株)タツノ,神奈川県横浜市栄区飯島町200,"2,410,347",
売掛金,シンワPKG(株),東京都台東区竜泉2-14-10,"2,692,778",
売掛金,水口化学産業(株),滋賀県甲賀市水口町さつきが丘12,"2,374,000",
売掛金,(株)サンエー,広島県三次市南畑敷町870-38,"4,749,683",
売掛金,信和合成樹脂(株),新潟県三条市鶴田4-5-24,"8,603,798",
売掛金,一般財団法人青い鳥,岩手県盛岡市みたけ1-5-60,"6,417,431",
売掛金,埼玉化工(株),埼玉県鳩ヶ谷市南3-19-12,"3,769,800",
売掛金,開土化学(株),東京都八王子市川町733-1,"2,133,514",
売掛金,その他24件,,"35,421,721",
,,,"155,899,297",
電子記録債権,常盤商事(株),東京都墨田区横川3-6-6,"174,416",
電子記録債権,常盤商事(株),東京都墨田区横川3-6-6,"247,918",
電子記録債権,常盤商事(株),東京都墨田区横川3-6-6,"156,530",
電子記録債権,常盤商事(株),東京都墨田区横川3-6-6,"103,180",
電子記録債権,泉工医科工業(株),東京都文京区本郷3-23-13,"261,800",
電子記録債権,泉工医科工業(株),東京都文京区本郷3-23-13,"121,000",
合計,,,,
