"名称(氏名)","所在地(住所)","期末現在高","摘要"
"ヒカリ(株)群馬工場","藤岡市東平井1410-8","165000",""
"藤倉化成(株)","栃木県佐野市栄町12-1","2007500",""
"ベルミテック(株)","高崎市新町1445","82500",""
"(株)ホイストクレーン","新潟県三条市西本成寺2-7-8","55000",""
"(株)餃子計画群馬工場","前橋市富士見町時沢2973-6","92400",""
"光菱生コンクリート(株)","渋川市川島69","4400",""
"(有)宮城種豚センター","前橋市柏倉町2624-1","11000",""
"明和産業(株)","甘楽郡甘楽町轟324","9240",""
"(株)茂木のたまご","栃木県芳賀郡茂木町小貫2731","323400",""
"モメンティブ·パフォーマンス·マテリアルズ·ジャパン合同会社","太田市西新町133","25372270",""
"八木工業(株)","高崎市倉賀野町3121","132000",""
"大和建設(株)","高崎市寺尾町1777","382800",""
"八幡砕石工業(株)","茨城県笠間市下郷2278","126500",""
"横山産業(株)大宮工場","埼玉県さいたま市見沼区宮ケ谷塔1349-","34210",""
"吉澤精機工業(株)北関東営業所","太田市飯田町1284-1","132000",""
"ラサ工業(株)伊勢崎工場","伊勢崎市国領町449-7","11000",""
"(株)リケン","埼玉県熊谷市末広4-14-1","2527800",""
"(株)両毛資源開発","桐生市相生町3-547-1","5500",""
"リンテック(株)吾妻工場","吾妻郡東吾妻町川戸150","72600",""
"小計","","132237913",""
