"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","轟産業(株)","福井市毛矢3-2-4","9115260",""
"〃","YKK(株)","黒部市吉田200","4624840",""
"〃","(有)ウーケ","下新川郡入善町下飯野232-5","3804878",""
"〃","シブヤパッケージングシステム(株)","金沢市河原市町2","3176074",""
"〃","YKKAP(株)","黒部市吉田200","3156824",""
"〃","かねくら(株)","各務原市各務東町5-82-10","2860000",""
"〃","(株)ジブヤ電機","比企郡鳩山町赤沼2069-1","1534500",""
"〃","(有)エヌアンドエヌ","下新川郡入善町八幡263","1282050",""
"〃","アサヒ飲料","下新川郡入善町若栗新321-1","686950",""
"〃","(株)クボタ","尼崎市浜1-1-1","639100",""
"〃","(株)東陽","富山市針原中町892-2","598840",""
"〃","旭サナック(株)","尾張旭市旭前町5050","561550",""
"〃","(株)豐通テック","春日井市味美西本町1744-1","500093",""
"〃","(株)トヨックス他","","3134505",""
"(小計)","","","35675464",""
"電子記録債権","シブヤパッケージングシステム(株)","金沢市河原市町2","99437109",""
"〃","轟産業(株)","福井市毛矢3-2-4","252861119",""
"〃","YKKAP","黒部市吉田200","24504458",""
"〃","東レエンジニアリング(株)","滋賀県大津市大江1-1-1","16171100",""
"〃","(株)豐通テック","春日井市味美西本町1744-1","12174250",""
"〃","(株)トヨックス","黒部市前沢4371","2722051",""
"〃","三晶MEC(株)","富山市晴海台8-5","1141250",""
"〃","朝日印刷(株)","富山市婦中町蔵島37-3","458700",""
"〃","(株)不二越","富山市不二越本町1-1-1","396000",""
"〃","シロウマサイエンス(株)","下新川郡入善町青木5777","104060",""
"計","","","",""
