"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)琉球リース","那覇市久茂地1-7-1","43763750","車輌代"
"〃","(株)ナンキュウ沖縄営業所","沖縄市泡瀬1-32-1","40956154","タイヤ代"
"〃","(株)おきぎんリース","那覇市前島2-21-1","32073710","車輌代"
"〃","沖縄県","那覇市泉崎1-2-2","25481860","車輌代"
"〃","三菱オートリース(株)","東京都港区芝5-34-7","22369675","車輌・整備代"
"〃","沖縄バス(株)","那覇市泉崎1-10-16","21174743","部品・整備代"
"〃","(株)ナンキュウ那覇営業所","浦添市勢理客2-18-1","19289105","タイヤ代"
"〃","MotorTransportBranch","","11022340","部品代"
"〃","ニッポンレンタカ一琉球(株)","那覇市壷川3-2-6壷川ビル1F","10500063","車輌代整備・部品代"
"〃","沖縄県警察本部","那覇市泉崎1-2-32","9187200","車輌代"
"〃","(株)冲縄丸和","うるま市州崎13-19","8754520","車輌代"
"〃","(株)くみき","島尻郡与那原町上与那原439","7634780","車輌代"
"〃","(株)車輛館","浦添市勢理客4-15-15","6939394","部品・整備代"
"〃","(有)幸地産業","国頭郡恩納村安富祖1841","6885000","車輌代"
"〃","住友三井オートサービス(株)","東京都新宿区西新宿3-20-2","6575064","車輌・整備代"
"〃","(株)ナンキュウ宜野湾営業所","宜野湾市大山6-46-7","6096057","タイヤ代"
"〃","伊平屋村役場","島尻郡伊平屋村我喜屋251","5926110","車輌代"
"〃","(有)大和サービス","沖縄市松本6-7-3","5495414","部品代"
"〃","ホクガン運輸(株)","那覇市港町3-4-18","5161503","部品・整備代"
"〃","ダイムラ・トラック・ファイナンシャルサービス・アジア","東京都品川区東品川4-12-4","4467070","車輌代"
"〃","八重瀬町","島尻郡八重瀬町東風平1188","4172343","車輌代"
"〃","キーストン石油(株)","宜野湾市真栄原1-4-5","4055830","車輌代"
"〃","第一総業(株)","那覇市古波蔵3-8-8","3903260","車輌代"
"〃","佐川急便(株)","那覇市銘苅2-11-10","3785510","車輛代"
"〃","丸石運送(株)","浦添市宮城1-5-2","3734635","部品・整備代"
"〃","ヤマト自動車整備工場","島尻郡八重瀬町宜次363-1","3653262","部品・整備代"
"計","","","",""
