科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,東北電化工業(株),仙台市青葉区落合1丁目14-31,"948,200",売上代
〃,東洋電設ES(株),仙台市太白区西の平1丁目1-25,"343,200",売上代
〃,(有)テクノ工機,仙台市若林区かすみ町7-18,"148,830",売上代
〃,佐々木電気工業(株),仙台市宮城野区岩切3丁目24-50,"55,000",売上代
〃,デザイントーホク(株),加美郡加美町下多田川鹿野原1-68,"408,760",売上代
〃,サンポット(株),仙台市宮城野区扇町4丁目2-40,"770,000",売上代
〃,東新工機(株),仙台市青葉区上杉1-13-38,"2,750",売上代
〃,東研工業(株),仙台市若林区卸町東5丁目3番15号,"181,060",売上代
〃,東テク(株),仙台市青葉区大町2丁目5-6,"26,400",売上代
〃,トーステ(株),大阪市西区本田2丁目1番32号,"163,350",売上代
〃,電通工業(株),仙台市青葉区上杉1-16-8-5F,"9,900",売上代
〃,(株)TTKエンジ秋田,秋田県秋田市御所野湯本1-1-7,"37,400",売上代
〃,(株)サンコー造型,仙台市若林区蒲町東10-15,"973,500",売上代
〃,東北ゴム(株),仙台市宮城野区港1-1-12,"731,500",売上代
〃,三機工業(株),仙台市青葉区一番町2-8-10,"9,350",売上代
〃,(株)東北亜鉛電材製作所,仙台市若林区六丁の目元町4-18東北亜鉛電材製作所,"6,600",売上代
〃,(株)三技協,神奈川県横浜市都筑区池辺町4509三技協,"109,560",売上代
〃,(株)中北電機,仙台市若林区卸町東4丁目3-27,"1,106,435",売上代
〃,日本電設工業(株),仙台市青葉区中央4丁目9-23,"5,638,560",売上代
〃,日信防災(株),仙台市青葉区中央2-11-23,"18,700",売上代
〃,(株)日設,東京都港区芝浦1-2-1,"46,200",売上代
〃,日本リーテック(株),仙台市宮城野区岩切分台1丁目8-6,"1,793,312",売上代
〃,フジ電子興業(株),仙台市太白区鈎取本町1-6-1フジ電子興業,"90,200",売上代
〃,(株)フジ標産,仙台市太白区鈎取1丁目6-1,"540,265",売上代
〃,富士古河E&C(株),仙台市青葉区一番町2-7-17-4F,"1,307,350",売上代
〃,(株)保工東北,仙台市宮城野区岩切分台1-8-6-1F,"280,500",売上代
計,,,,
