科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,那須電機工業(株)砂町工場,東京都江東区砂町3-5-28,21083956,
〃,(株)フカガワ横浜支店,神奈川県横浜市鶴見区江ヶ崎町9-29,9929208,
〃,(株)中川製作所営業課,埼玉県川口市弥平3-1-10,9510994,
〃,山田(株)ダクト事業部,神奈川県横浜市金沢区福浦2-17-17,8652603,
〃,(株)タカシマ,東京都千代田区岩本町2-8-13,8539593,
〃,白河日東工器(株),福島県白河市双石横峰12,6989400,
〃,サンエス工業(株),大阪府枚方市伊加賀緑町3-24,6926157,
〃,(株)フカガワ大阪支店,大阪府東大阪市加納5-14-24,6248847,
〃,(株)フカガワさいたま支店,埼玉県さいたま市岩槻区横根188-1,6118934,
〃,東洋アルチタイト産業(株),埼玉県さいたま市北区本郷町142,5435881,
〃,(株)フカガワ福岡資材,福岡県福岡市博多区板付1-3-27,5377116,
〃,山田(株)福島営業所,神奈川県横浜市金沢区福浦2-17-17,5325713,
〃,(株)サンコー,埼玉県川口市本連2-7-34,5310525,
〃,(株)栗本鐵工所,茨城県古河市丘里10-6,5072891,
〃,三信船舶電具(株),埼玉県春日部市下柳1534,4499687,
〃,岡部(株)茨城工場,茨城県下妻市半谷1100-1,4276468,
〃,STP(株),"chemdangieop 5-ro BONGAN-RI,SAMYEON,GYEONGANGBUK-DO,KOREA",4262590,
〃,(株)興発スパイラル製作所,北海道北広島市大曲工業団地8-3-1,3790358,
〃,(株)カンネツカーポレーション広島,広島県広島市安佐南区山本3-6-8,3478126,
〃,(株)メンテックワールド,広島県東広島市八本松飯田2-2-1,3434192,
〃,(株)東北フカガワ仙台営業所,宮城県仙台市宮城野区中野1-2-10,3338052,
〃,栗本商事(株)沖縄営業所,沖縄県那覇市久米2-4-16大樹生命那覇ビル4階,3326648,
〃,エトー(株),東京都大田区平和島6-1-1-TRCセンタービル5階510号室,3304304,
〃,(株)リネックス,茨木県結城市大字江川新宿1969-7,3147353,
〃,那須電機鉄工(株)鋼構造グループ,千葉県八千代市吉橋字内野1085-5,2810500,
〃,石原機械(株)金沢営業所,石川県金沢市神野町東88,2752374,
計,,,,
