"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","丸井産業(株)山口東営業所","山口県周南市鼓海2丁目118-38","631070",""
"売掛金","山口産業株式会社","佐賀県多久市多久町3555-120","629156",""
"売掛金","有限会社儀間組","沖縄県沖縄市古謝一丁目3番2号","624125",""
"売掛金","丸井産業(株)岡山営業所","岡山県岡山市北区下中野335-101","619465",""
"売掛金","(株)島袋シマコーポレーション豊中店","大阪府豊中市名神口1-15-5","618444",""
"売掛金","(株)イベックス","千葉県船橋市海神2-3-10","607710",""
"売掛金","有限会社ヒラヨシ産業","沖縄県豊見城市字我那覇522番地2","607519",""
"売掛金","有限会社蔵興業","沖縄県うるま市字仲嶺236番地ノ1","606210",""
"売掛金","株式会社吉・長","沖縄県那覇市古波蔵2-32-27","606174",""
"売掛金","岡部(株)","千葉県野田市尾崎2325-6","603680",""
"売掛金","一般社団法人先端地盤技術グルー","神奈川県相模原市南区相南4-23-152F","600193",""
"売掛金","(株)佐藤ケミカル浜松支店","静岡県浜松市中央区卸本町35番地","595430",""
"売掛金","(株)吉田金物店","山形県山形市あこや町1-3-23","593248",""
"売掛金","トーマ産業株式会社","江縄県与那原町字東浜90番の1","590750",""
"売掛金","株式会社全志建設","沖縄県うるま市具志川641番地1","584716",""
"売掛金","沖総管材株式会社","沖縄県浦添市城間3-1-7","577410",""
"売掛金","宜野湾市管工事協同組合","沖縄県宜野湾市伊佐4-4-1","575143",""
"売掛金","喜屋武材木店","沖縄県今帰仁村天底934","571782",""
"売掛金","株式会社松山商事","沖縄県うるま市字豊原402-1","570693",""
"売掛金","総合リフォーム株式会社","沖縄県宜野湾市大謝名1-3-15","569658",""
"売掛金","盛虎ジャパン(株)(SEIKO建材)大阪ネ","沖縄県那覇市安謝2丁目4番7号","561197",""
"売掛金","ヨナハ内装","沖縄県北中城村字島袋1526-2","560310",""
"売掛金","ナカオ産業(北部)","沖縄県名護市伊差川903-1","559570",""
"売掛金","(株)千葉春本社","岩手県一関市東山町長坂字町108","557024",""
"売掛金","有限会社島袋瓦工場","沖縄県与那原町上与那原494-1","553685",""
"売掛金","有限会社リフォーム施工","沖縄県宜野湾市普天間1-24番7号2階","552162",""
"計","","","",""
