科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)サン勇建設,埼玉県草加市神明2-4-19,2900000,
売掛金,(有)マツイ工務店,大分県竹田市大字玉来633-1,2794000,
売掛金,スターホーム(株),神奈川県三浦郡葉山町上山口1431-1,2678500,
売掛金,(株)長谷川萬治商店,東京都江東区富岡2-11-6長谷萬ビル2階,2663100,
売掛金,(株)篠原商店,東京都練馬区下石神井5-13-2,2479454,
売掛金,(有)阿部建築工業,千葉県松戸市稔台1-24-14,2387000,
売掛金,横浜エコハウス(株),神奈川県横浜市保土ケ谷区初音ケ丘12-14横浜エコハウスビル中2階,2347184,
売掛金,永光建設(株),埼玉県さいたま市見沼区大字片柳1428-1,2328700,
売掛金,(株)マツモト,神奈川県横浜市金沢区朝比奈町146,2197066,
売掛金,共和商事(株),埼玉県久喜市久喜中央2丁目8-23EYビル201,2193853,
売掛金,エス・エルワールド(株),静岡県静岡市清水区宮加三642番地,2041905,
売掛金,(株)ウベモク,山口県宇部市西平原三丁目2番22号,1923241,
売掛金,大東建託(株),東京都港区港南2-16-1,1920930,
売掛金,(有)つるおか工務店,千葉県夷隅郡御宿町久保1341-1,1769765,
売掛金,(株)オレンジハウス,静岡県静岡市葵区幸町4-18,1696066,
売掛金,(株)清水工務店,千葉県柏市南増尾2-7-28,1540000,
売掛金,日本住宅(株),岩手県盛岡市津志田中央1-3-28,1509200,
売掛金,(株)ノダ,静岡県富士市中之郷648-1,1399640,
売掛金,(株)スペースエージェンシー,熊本県熊本市中央区坪井6丁目36-7,1247400,
売掛金,シグマコンポーネント(株),福岡県久留米市東合川2丁目7-22,1178275,
売掛金,(株)高木建設,東京都中野区江古田4-37-4,1166440,
売掛金,(株)ヤマカミ,東京都江東区富岡1-14-21,1092812,
売掛金,(株)アルバライフ,岩手県二戸市金田一字八ツ長88-5,924000,
売掛金,新日本ホームズ(株),福岡県北九州市八幡西区折尾3-3-22折尾メディカルビル3F,897600,
売掛金,(株)マキ木材商会,宮崎県宮崎市大字跡江2614,881555,
売掛金,(株)ヤマダホームズ,群馬県高崎市栄町1-1,873227,
計,,,,
