科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(株)カナモリ商事,札幌市手稲区新発寒6条3丁目2-18,264226,
〃,(株)メタリック,札幌市白石区菊水上町3条3丁目52-18,262350,
〃,蝦夷工業(株),札幌市白石区平和通6丁目南3-4,259934,
〃,相互建材工業(株),恵庭市戸磯347-7,242572,
〃,(株)イブカ,札幌市白石区平和通15丁目北9-18,229318,
〃,(株)北海道三和,札幌市東区中沼西1条1丁目4-1,219029,
〃,テクノコネクト(株),札幌市白石区菊水元町9状2丁目3-12,207680,
〃,(株)濱野建材店,札幌市東区東雁来6条2丁目3-50,204196,
〃,双日建材(株),札幌市中央区北1条西5丁目2-9,195800,
〃,ファミリーホーム(株),札幌市東区北38条東5丁目1-2,188958,
〃,(株)イーグルジャパン,札幌市白石区本通12丁目北1-15,187633,
〃,(株)アイトラスト,札幌市北区屯田5条5丁目3-8,187055,
〃,(株)高建,札幌市清田区真栄3条2丁目15-15,185383,
〃,(株)フォレスタ,札幌市中央区宮の森3条10丁目3-15,182488,
〃,(株)オーエスライン,札幌市北区屯田4条5丁目10-6,180136,
〃,(株)三津橋,石狩市花畔140-4,173349,
〃,(株)柴田ベニヤ商会,札幌市東区東苗穂3条1丁目12-18,168256,
〃,北長金日米建材(株),札幌市東区北丘珠4条3丁目12-1,166760,
〃,(株)井上木工,函館市亀田港町2-8,166540,
〃,明和(株),札幌市白石区菊水元町2条1丁目5-25,164065,
〃,(株)HGサポート,札幌市南区澄川6条3丁目3-12,157655,
〃,ダイアックス(株),札幌市西区琴似1条3丁目1-33,148676,
〃,伊東テック(株),北広島市大曲256-74,147065,
〃,(株)トレッフガルテン,札幌市中央区南15条西13丁目2-43-104,140740,
〃,(株)三浦建業,札幌市北区新川2条5丁目7-21,139920,
〃,(株)創栄ホーム,札幌市東区北44条東6丁目1-6,135575,
計,,,,
