"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","記念住宅(株)","高知市八反町2丁目10-2","2181318",""
"〃","(株)サンキューホーム","高知市口細山54-159","2387000",""
"〃","笹田建築","高知市朝倉本町1丁目12-28-3","270120",""
"〃","(株)タニケン","高知市薊野西町1丁目24-15","7449672",""
"","売掛金計","","37294064",""
"未収入金","","","13556",""
"〃","(有)勇工務店","高知市大谷公園町20番1号","49708",""
"〃","(有)オカムラ工務店","高岡郡中土佐町久礼3918-1","3960",""
"〃","高知県木材商業協同組合","高知市仁井田4509","15620",""
"〃","島岡建築","高岡郡四万十町平野669","72666",""
"〃","(有)巧建設","高岡郡津野町白石丙196番地","62330",""
"〃","田中建築","高知市春野町森山15150","248866",""
"〃","","","32917",""
"〃","","","6254",""
"〃","","","55003",""
"〃","","","1668",""
"〃","(株)リファインこうち","高知市青柳町25-3","302357",""
"〃","松浦木材(有)","須崎市港町85","160248",""
"〃","笹田建築","高知市朝倉本町1丁目12-28-3","70102",""
"〃","タニケン","高知市薊野西町1丁目24-15","85338",""
"〃","","","37838",""
"〃","記念住宅","高知市北反田町2丁目10-2","1408",""
"〃","リフォーム高知","高知市万々477-1","56958",""
"〃","(株)山善工務店","高知市円行寺1769-7","20790",""
"〃","(株)鎌倉建設","高知市福井扇町1091-14","7128",""
"計","","","",""
