科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,河北鋼材産業(株),仙台市若林区卸町東5丁目2-10,"1,450,691",売上代
〃,(株)関電工,仙台市青葉区一番町4丁目6-1,"3,608,002",売上代
〃,(株)関電工福島本部,楢葉町大字井出宇浄光西15-2,"49,500",売上代
〃,(株)弘電社,仙台市青葉区本町1丁目2-20,"2,158,200",売上代
〃,高洋電機(株),山形市長苗代55,"284,570",売上代
〃,菅野産業(株),仙台市若林区志波町18-21,"40,590",売上代
〃,ウィングエンジニア(株),仙台市太白区富沢3-28-30,"305,470",売上代
〃,北日本電材(株),仙台市若林区卸町3丁目3-3,"245,520",売上代
〃,(株)エスエスピー,仙台市泉区七北田宇大沢相の沢2-31,"228,250",売上代
〃,アサヒアレックス東日本(株),仙台市太白区長町南4丁目11-18,"55,500",売上代
〃,(株)エムアールロック,仙台市泉区南光台3-24-33,"2,475",売上代
〃,(有)共同防災設備,仙台市宮城野区岩切字稲荷103-1,"113,300",売上代
〃,(株)青葉機械工事,岩沼市下野郷字出雲屋敷33-1,"118,800",売上代
〃,(有)河北シャーリング,六丁の目元町4-11,"51,150",売上代
〃,(有)小高通信,仙台市若林区六丁の目中町30-20,"91,960",売上代
〃,アイリスネット(株),仙台市青葉区五橋2-12-1,"51,150",売上代
〃,(株)エディソン,仙台市宮城野区宮千代1-18-1,"123,200",売上代
〃,(株)JVCケンウッド・公共産業システム,仙台市若林区卸町3丁目5-19,"823,680",売上代
〃,スチール搬送(株),仙台市青葉区中江1丁目16-16,"1,554,410",売上代
〃,(株)ティーエスピー東北,岩手県滝沢市大釜字外館116-1,"37,950",売上代
〃,(株)TTK,仙台市若林区新寺1丁目2-23,"879,164",売上代
〃,(株)TKテクノサービス,東京都千代田区丸の内3丁目2-3,"29,470",売上代
〃,資材リンコム(株),仙台市青葉区上愛子字松原47-9,"551,980",売上代
〃,東光電気工事(株),仙台市青葉区上杉6丁目2-23,"156,120",売上代
〃,東北電化工業(株),仙台市青葉区落合1丁目14-31,"253,550",売上代
〃,東洋電設ES(株),仙台市太白区西の平1丁目1-25,"111,485",売上代
計,,,,
