"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)ココロココ","四国中央市妻鳥町1817-1","508200",""
"〃","大王製紙(株)","四国中央市三島紙屋町5-1","484770",""
"〃","山中商事(株)","四国中央市寒川町773","448012",""
"〃","四国中央市観光協会","四国中央市金生町下分865","399000",""
"〃","(株)パブリック","観音寺市大野原町福田原241","390060",""
"〃","四国中央市物産協会","四国中央市三島宮川4-6-55","388800",""
"〃","四国中央市ふれあい市民劇団","四国中央市土居町入野56番地ちかいビル4階","380050",""
"〃","四国中央市長寿支援課","四国中央市三島宮川4-6-55","369600",""
"〃","うま農業協同組合","四国中央市中之庄町1684-4","344355",""
"〃","カミイソ産商(株)","四国中央市川之江町2529-218","334803",""
"〃","川之江中央ライオンズクラブ","国中央市金生町下分798-2","306500",""
"〃","その他","","8153388","111件分"
"〃","締後分消費税","","1062649",""
"","売掛金計","","84414337",""
"未収入金","(株)松本光春商店","三豊市山本町大野2873-1","486100","故紙売却代8・9月分"
"〃","AIPA(株)","四国中央市川之江町415-1","9680","ハクリ紙売却代"
"〃","四国コカ・コーラボトリング(株)","香川県高松市春日町1378番地","11868","自動販売機手数料"
"","未収入金計","","507648",""
"破産更生債権等","Dsworks","四国中央市三島中央3丁目15-3セントラルビル3F","1","1年以上取引停止備忘価格"
"","破産更生債権等計","","1",""
"計","","","",""
