科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,日販物流サービス(株)秦野,秦野市菩堤153-1,31945998,
,ニッパ(株),横浜市港北区新羽町1508,12704104,
,(株)昭和物産,千葉県柏市酒井根628,9544338,
,興亜紙器(株),横浜市南区六ッ川3-63-1,9535437,
,大興紙工(株),横浜市港北区新羽町2812,7079904,
,(株)北原紙器製作所千葉,千葉県茂原市東郷1860,6831040,
,ダイワダンボール(株),相模原市田名3680-11,6656111,
,日販物流サービス(株),埼玉県朝霞市上内間木789,6449155,
,北村紙器(株),東京都大田区多摩川1-12-12,6221765,
,興菱梱包(株),厚木市下依知300,5548354,
,大幸紙工(株),東京都大田区本羽田3-24-2,5235811,
,大進段ボール(株),横浜市瀬谷区宮沢3-22-1,4774214,
,MIT(株),東京都大田区田園調布1-33-4,4258491,
,キャロウェイゴルフ(株),千葉県船橋市潮見町18-3,4227802,
,(株)大成,東京都新宿区新宿2-9-22,4064566,
,(株)北原紙器製作所横浜,横浜市港北区新羽町1254,3574139,
,宝製菓(株),横浜市戸塚区東俣野町1750,3198505,
,アルプスカートン(株),横浜市戸塚区上矢部町3537-8,3110387,
,タイヨー(株),厚木市温水1961,2844378,
,(株)横浜リテラ,横浜市戸塚区上矢部町1965-4,2514709,
,コンボー(株),厚木市上依知宇上ノ原3025,2451451,
,新生紙パルブ商事(株),東京都千代田区神田錦町1-8,1905046,
,太洋物流(株),小田原市鬼柳486,1874458,
,太陽油脂(株),横浜市神奈川区守屋町2-7,1798434,
,高砂運輸(株),東京都品川区大崎1丁目20-15,1667442,
,ユニオン紙器(株),横浜市栄区長沼町639,1593464,
計,,,,
