科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,中央技建工業(株),亀岡市西別院町神地坊床5-1,24417475,
〃,宮崎木材(株),神戸市長田区腕塚町1-3-4,23745871,
〃,(株)協同クリエイト,神戸市中央区北長狭通5-6-2,19059367,
〃,親和パッケージ(株),神戸市東灘区向洋町西6-19,15396474,
〃,(株)みうら,山口県周南市新田2-2-3,14972176,
〃,コベルコシンワ(株)本社,明石市大久保町八木597,12639442,
〃,(株)クリエイト・デイ,明石市貴崎5-6-31,11233880,
〃,山九(株),東京都中央区勝どき6-5-23,8364199,
〃,三輪運輸工業(株),神戸市中央区脇浜町2-1-16,8025518,
〃,(株)シマブンコーポレーション,神戸市東灘区住吉浜町13,7952016,
〃,商船三井ロジステイック(株),東京都千代田区神田駿河台4-3,6609209,
〃,神鋼物流(株),神戸市中央区脇浜海岸通2-2-4,5962468,
〃,神鋼総合サービス(株),神戸市灘区灘浜東町2,5955180,
〃,ユアサ木材(株),東京都千代田区神田美土代町7,5778306,
〃,(株)神鋼環境ソリューション,神戸市中央区脇浜町1-4-78,5222314,
〃,JFE建材(株),東京都港区港南1-2-70,4592891,
〃,内外フォワーディング(株),神戸市中央区新港町6-1,4470897,
〃,名田商店,神戸市長田区苅藻島町3-3-18,4442310,
〃,大紀工業(株),大阪市住之江区平林南1-5-54,4067947,
〃,(株)ヤング住研,加古川市米田町平津466-7,4006156,
〃,(株)神戸製鋼所,神戸市中央区脇浜海岸通2-2-4,3853587,
〃,三友企業(株),神戸市中央区栄町通5-1-3,3286554,
〃,義勇梱包(株),神戸市中央区磯辺通2-2-10,3285645,
〃,昭南木材産業(株),北九州市八幡東区西本町1-12-13,2887774,
