"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","岡谷香港有限公司","香港","21098529","海外"
"売掛金","GENTLEHONGKONG","〃","4762380","海外"
"(小計)","","","25860909",""
"売掛金","(株)アルバック","茅ヶ崎市萩園2500","28231000",""
"売掛金","双立電機(株)","豊島区南長崎5-7-6","11599185",""
"売掛金","日本オーチスエレベーター(株)","山武市芝山町小池2700-1","7951398",""
"売掛金","大同信号(株)","大田区仲池上2-14-12","5804373",""
"売掛金","(有)パンオリエントコーポ","千葉市中央区栄町35-14","3596864",""
"売掛金","大慶電機(株)","大田区千鳥1-4-2","3511153",""
"売掛金","関東精機(株)","","3267165",""
"売掛金","パスカル工業(株)","目黒区中央町1-15-3","2983200",""
"売掛金","セイコータイムクリエーション(株)","松戸市高塚新田563","2452779",""
"売掛金","三菱電機トレーデング(株)","","2442000",""
"売掛金","(株)ナカヨ","渋谷区桜ケ丘町24-2","2414395",""
"売掛金","理化工業(株)","","2092179",""
"売掛金","(株)トアック","千代田区外神田3-6-4","2001919",""
"売掛金","岡本無線電機(株)","大阪府大阪市浪速区日本橋4-8-4","1887600",""
"売掛金","(株)三工社","","1710075",""
"売掛金","パナソニックエレベーター(株)","大阪府門真市大字門真1048","1625470",""
"売掛金","相模商工(株)","新宿区西落合1-20-8","1557561",""
"売掛金","明光電子(株)","大野城市東大利3-9-2","1296766",""
"売掛金","大江電機(株)","","950366",""
"売掛金","(株)三英社","","859759",""
"売掛金","(株)泰和製作所","","804050",""
"売掛金","和光電気(株)","千代田区外神田5-5-15","742920",""
"売掛金","山和電子(株)","","576950",""
"計","","","",""
