"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","協和紙工(株)","四国中央市中之庄町1694-2","28549957",""
"〃","レック(株)","東京都中央区日本橋浜町3-15-1","11463045",""
"〃","レック(株)裾野工場","静岡県裾野市下和田字嵐ノ台648-10","5989500",""
"〃","中央紙工(株)","四国中央市金生町半田甲140-1","2519684",""
"〃","エヒメ紙工(株)","四国中央市妻鳥町3048-12","2154795",""
"〃","書道パフォーマンス甲子園実行委員会","四国中央市中之庄町1665-1","1720400",""
"〃","三和紙工(株)","愛媛県伊予三島市中央5-7-33","1624233",""
"〃","篠原商事(株)","四国中央市妻鳥町2521-1","1445843",""
"〃","大黒工業(株)","四国中央市中曽根町1593","1372855",""
"〃","(株)三豊印刷","観音寺市柞田町甲37-1","1332057",""
"〃","四国中央市役所","四国中央市三島宮川4-6-55","1176032",""
"〃","高津紙器(株)","四国中央市川之江町3691","1151679",""
"〃","(株)マルニチ","四国中央市妻鳥町1338","1015018",""
"〃","(株)やまびこ","四国中央市新宮町馬立750-1","1014772",""
"〃","七宝紙器(株)","香川県観音寺市柞田町丙1861-1","987844",""
"〃","ツバメ工業(株)","観音寺市大野原町丸井817-7","956659",""
"〃","(株)四国中央レポート","四国中央市三島中央5丁目5-23","862400",""
"〃","日産紙工業(株)","四国中央市川之江町長須235","703287",""
"〃","タイカワ商事(株)","四国中央市三島宮川2-5-8","683100",""
"〃","(株)大西水引","四国中央市金生町下分2570-56","659609",""
"〃","(株)琴参閣","香川県仲多度津郡琴平町685-11","646998",""
"〃","(株)マルアイ","山梨県西八代郡市川三郷町市川大門260-3","625680",""
"〃","四国中央商工会議所","四国中央市金生町下分865","588830",""
"〃","(株)横内造園","四国中央市金生町下分309","550330",""
"〃","(株)今村紙工","四国中央市中曽根町216?5","536943",""
"〃","(有)富山商会","三豊市詫間町詫間3576","512600",""
"計","","","",""
