科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)サンキョー,岡山県備前市香登本12,4504401,
売掛金,(株)サンウッド,静岡県沼津市東間門160番地,4474800,
売掛金,(株)オリーブハウス,福岡県糟屋郡粕屋町長者原15-3,4367000,
売掛金,辰巳開発(株),福岡県北九州市八幡西区幸神4-7-6,4340600,
売掛金,永光建設(株),埼玉県さいたま市見沼区大字片柳1428-1,4314500,
売掛金,(株)東急Re・デザイン,東京都世田谷区用賀4-10-1世田谷ビジネススクエアタワー3階,3886713,
売掛金,(株)井桁藤,愛知県名古屋市港区十一屋1-15,3783560,
売掛金,(株)ワンズホーム,千葉県市原市東国分寺台4-2-6,3764343,
売掛金,(株)輝,神奈川県厚木市三田3628,3663000,
売掛金,日本製紙木材(株),東京都荒川区東日暮里5-48-5光陽社ビル7階,3639665,
売掛金,グリーンアンドハウス(株),埼玉県秩父市大野原1526-6,3541780,
売掛金,(有)マツイ工務店,大分県竹田市大字玉来633-1,3146000,
売掛金,(株)タツミ,新潟県見附市今町8-3-1,2920104,
売掛金,西日本グッドパートナー(株),大分県大分市金池南1-3-31,2838000,
売掛金,(有)阿部建築工業,千葉県松戸市稔台1-24-14,2788126,
売掛金,シグマコンポーネント(株),福岡県久留米市東合川2-7-22,2711871,
売掛金,(株)Beハウス,茨城県牛久市女化町707-1,2647700,
売掛金,トーヨークリエイツ(株),東京都杉並区下高井戸2-5-1,2589400,
売掛金,みすゞ建設(株),東京都武蔵野市吉祥寺東町2-2-15,2585000,
売掛金,協同建工(株),神奈川県大和市中央3-5-5,2567400,
売掛金,(株)ノダ,静岡県富士市中之郷648-1,2548216,
売掛金,(株)IinaーStyle,神奈川県藤沢市善行7-9-32,2497000,
売掛金,(株)グレアホーム,千葉県佐倉市王子台2-26-7,2486000,
売掛金,(株)ロックフィールズ,東京都豊島区南池袋2-49-7池袋パークビル1階,2457180,
売掛金,双日建材(株),東京都千代田区大手町1-7-2東京サンケイビル21F,2139918,
売掛金,以奈場木材(株),東京都江東区辰巳3-17-17,1866603,
計,,,,
