"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"電子記録債権","(株)愛光","埼玉県坂戸市千代田5-4-32「富士見工業団地内」","3487000",""
"〃","(株)森井製作所","神奈川県相模原市中央区上溝2367-4","3390000",""
"","電子記録債権計","","32473648",""
"未収入金","キューエス三条(株)","三条市川通中町484番地","146358","3月分自動外観検査装置IM-3100賃"
"〃","キューエス三条(株)","三条市川通中町484番地","50000","3月分事務委託手数料"
"〃","損害保険ジャパン(株)","新潟市中央区万代1丁目4-33","254100","企業総合補償保険入金金型棟マシニンク"
"〃","(株)ジェイテクトマシンシステム[光洋機械]","大阪府八尾市南植松町2丁目34番地","13073112","R4.10～R5.3.1遡及売上高未収計上"
"〃","(株)セイタン","南魚沼市二日町684-1","1345245","3/末支払金額使用材料代分未収計"
"〃","(株)セイタン","南魚沼市二日町684-1","12778","3月分金型保管料"
"〃","(株)コーシン(アサヒ自販機)","石川県野々市市押野2-216","1745","3月販売手数料"
"〃","センノ・メタル(株)","大阪府摂津市新在家2丁目30-5","49100","金型使用済部品(刃物)売却"
"〃","(株)マルハコーポレーション","新潟市中央区南笹口1-2-16CDビル1F","242000","天蔵倉庫3月度賃貸料計上"
"〃","(株)ヤマミ","新潟県三条市矢田3203栄東部工業団地","294620","アクア4937売却代金未収計上(車両"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","81125","3月分精密転造盤R16A-Ⅱ賃料"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","15125","3月分CAD/CAMOneCNC賃料"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","10270","従業員応援時2月度高速代未請求分"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","7233","貸付利息12/12～3/11分200万返済R"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","3156","貸付利息2/13～3/11分200万返済R5"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","18936","貸付利息9/22～3/21分300万返済R5"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","12690","従業員応援時3月度高速代未収計上"
"〃","(株)神保鉄工所","新潟県長岡市浦214-15","72388","従業員応援時3月度交通費、宿泊代"
"〃","図南鍛工(株)","神奈川県大和市柳橋5丁目12-30","7556349","燃料費差額遡及売上分未収計上(R"
"〃","北越銀行","長岡市大手通二丁目2番地14","15565","WFB-BIZ手数料戻り3月末分"
"〃","北越銀行","長岡市大手通二丁目2番地14","520683","4/166千万9月～2月支払分利子補給"
"〃","令和特殊鋼(株)","東京都中央区日本橋堀留町1-10-15JL日本橋ビル5階","3932","3月分金利"
"〃","富士機工(株)","静岡県湖西市鷲津2028","396893","遡及売上分未収計上"
"計","","","",""
