科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(有)エムファイブ,札幌市東区伏古8条3丁目8-27,134244,
〃,(株)山田四郎松商店,旭川市曙1条1丁目2-8,131967,
〃,(有)金野木材店,札幌市豊平区豊平5条10丁目2-12,127160,
〃,北海道アサヒ販売(株),札幌市豊平区中の島1条7丁目10-20,126687,
〃,(株)ヤマチコーポレーション,札幌市中央区北1条西10丁目1-17,122469,
〃,(有)杉澤金物,札幌市東区北36条東6丁目1-7,113806,
〃,橋本総業(株),札幌市白石区中央3条3丁目1-1,96635,
〃,富士化学工業(株),札幌市白石区菊水9条4丁目2-30,94952,
〃,イワタニセントラル北海道(株),札幌市白石区中央1条4丁目3-76,90043,
〃,(有)拓商,札幌市北区拓北1条3丁目3-23,87723,
〃,フラット合成(株),札幌市東区東雁来6条2丁目5-25,87549,
〃,(有)松橋金物,札幌市北区新琴似7条10丁目3-16,85470,
〃,(有)アクトトーヨー住器,江別市東野幌213-8,77220,
〃,アフターマーケット(株),札幌市白石区東米里2124-118,73786,
〃,(株)近藤組,札幌市中央区南25条西13丁目1-31,73145,
〃,北海道車体(株),北広島市大曲工業団地2丁目7-3,72930,
〃,長谷川建設(株),石狩市当別町対雁3-11,71730,
〃,北欧建築,札幌市豊平区西岡5条12丁目11-11,71643,
〃,(株)ブルケン東日本,札幌市白石区流通センター4丁目1-25,67991,
〃,マグ・イゾベール(株),札幌市西区発寒15条12丁目2-25,54450,
〃,大丸総合建材(株),札幌市西区発寒6条8丁目6-22,50745,
〃,カベヤ建設(株),札幌市西区山の手5条10丁目4-19,47410,
〃,(株)リベラル,札幌市北区篠路町拓北6-183,45980,
〃,松原産業(株),夕張郡栗山町中央1丁目1,45760,
〃,(株)ニッタクス,札幌市東区北12条東14丁目2-10,45025,
〃,(有)ALC興産,札幌市白石区東札幌2条2丁目2-1,44966,
計,,,,
