"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"","大和紙器(株)","南足柄郡塚原370-1","1490556",""
"","(有)栩木実商店","横浜市鶴見区市場富士見5-1","1462979",""
"","佐脇紙器(株)","川崎市宮前区土橋1-14-5","1242112",""
"","(株)泉屋東京店","横浜市西区岡野1-2-2","1172895",""
"","東京梱包材料(株)","東京都北区赤羽北1-16-3","1148243",""
"","(株)ウエシマコーヒー","横浜市港北区新吉田東2-7-8","1105594",""
"","NX商事(株)","東京都港区海岸1-14-22","1056726",""
"","(株)小師紙器製作所","東京都品川区小山4-8-3","957114",""
"","(株)木下","横浜市鶴見区駒岡2-8-47","826848",""
"","安永油化工業(株)","横浜市旭区下川井町2325","791060",""
"","アルタン(株)","東京都大田区東糀谷3-11-10","730510",""
"","(株)創育","東京都港区南麻布3-19-23","715155",""
"","共同印刷(株)","東京都文京区小石川4-14-12","706475",""
"","(株)コクヨロジテム","大阪市東成区大今里南6-1-1","668800",""
"","(株)エースパッケージ","埼玉県幸出市木立1830-22","657485",""
"","タカラ工業(株)","東京都大田区大森西3-28-5","637109",""
"","日東梱包資材(株)","東京都目黒区上目黒1-12-16","628023",""
"","(株)ミヤザワ","神奈川県藤沢市辻堂神台2-2-1","621907",""
"","コーワ(株)","埼玉県八潮市柳之宮45","590381",""
"","(有)大廣紙器製作所","横浜市港北区新吉田町174","587420",""
"","(株)シーエスエス東京","東京都品川区東大井2-25-19","526350",""
"","日本味噌(株)","横浜市神奈川区三枚町364","514580",""
"","その他","","13563791",""
"小計","","","184011616",""
"計","","","",""
