"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"契約資産","日立造船(株)","大阪市住之江区南港北1丁目7番89号","641462","C800009"
"契約資産","日立造船(株)","大阪市住之江区南港北1丁目7番89号","109965028","C800010"
"契約資産","鹿島建設(株)","東京都港区元赤坂1丁目3-1","367917559","C807009"
"契約資産","(株)ヒロテック","熊本県熊本市北区植木町植木495番地文具館ビル2階A","205850287","W790001"
"契約資産","大阪市","大阪府大阪市北区中之島1丁目3番","202259027","0800001"
"契約資産","(株)ヒロテック","熊本県熊本市北区植木町植木495番地文具館ビル2階A","173109119","H750505"
"契約資産","日本下水道事業団","東京都文京区湯島二丁目31番27号湯島台ビル(3・","121816127","H770012"
"契約資産","(株)ヒロテック","熊本県熊本市北区植木町植木495番地文具館ビル2階A","4170870","H790501"
"契約資産","姫路市","兵庫県姫路市安田四丁目1番地","98146204","H800001"
"契約資産","兵庫県中播磨県民センター","兵庫県姫路市北条1丁目98","77169926","H800004"
"契約資産","近畿地方整備局","大阪府大阪市中央区大手前3丁目1-41","286748414","H800005"
"契約資産","兵庫県中播磨県民センター","兵庫県姫路市北条1丁目98","993948","H800008"
"契約資産","五洋・不動テトラJV","","61720854","H800109"
"契約資産","鹿島建設(株)","東京都港区元赤坂1丁目3-1","26144328","M781002"
"契約資産","南関東防衛局","神奈川県横浜市中区北仲通5-57横浜第2合同庁","26371593","T800002"
"契約資産","(株)安藤・間","東京都港区東新橋1丁目9番1号","47916438","Q760005"
"契約資産","九州地方整備局","福岡県福岡市博多区博多駅東2丁目10-7","244627791","Q800001"
"契約資産","(株)SMART","愛知県名古屋市港区昭和町14-24","2205329","N790002"
"契約資産","(株)小島組","愛知県名古屋市港区木場町1-6","1154170","N800001"
"科目計","","","2602332362",""
"未収入金","大館自然電力合同会社","東京都文京区本郷4-9-22","13728528","完成計上振替他"
"未収入金","胎内自然電力合同会社","東京都文京区本郷4-9-22","38662706","完成計上振替他"
"未収入金","(株)ヒロテック","熊本県熊本市北区植木町植木495番地文具館ビル2階A","28218951","出資金"
"未収入金","(株)ヒロテック","熊本県熊本市北区植木町植木495番地文具館ビル2階A","24504","受取利息未収入金計上"
"未収入金","響灘太陽光発電合同会社","東京都文京区本郷4-9-22","20811448","完成計上振替他"
"未収入金","姫路税務署","兵庫県姫路市北条1丁目250","2000","収入印紙過誤納請求分"
"計","","","",""
