"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","(株)ヨシタケ","名古屋市瑞穂区二野町7-3","991100",""
"売掛金","(株)KSW","可児市若葉台3-37","907574",""
"売掛金","(株)フェイス","兵庫県尼崎市南武庫之荘7-20-21","906070",""
"売掛金","(株)岡伸工業所","名古屋市天白区中坪町262","775920",""
"売掛金","高洋電機(株)","三重県渡海郡玉城町中楽639-1","753258",""
"売掛金","(株)マックマシンツール","大阪府吹田市垂水町3-34-15","627000",""
"売掛金","制御機材(株)","東京都新宿区西新宿1-26-2","611600",""
"売掛金","(株)生方製作所","名古屋市南区宝生町4ー30","492624",""
"売掛金","(株)NCネットワークファクトリー","名古屋市緑区有松町大字桶狭間字生山43-1","419100",""
"売掛金","野村DS(株)","東京都青梅市今井3-1-12","418000",""
"売掛金","(株)ヤナイ","神戸市中央区港島南町7-1-6","369565",""
"売掛金","カナレハーレス(株)","日進市藤枝町奥廻間1201-10","358299",""
"売掛金","(株)ヤマザキ","さいたま市西区西遊馬921","319000",""
"売掛金","大森電機(株)","名古屋市守山区川宮町293","190192",""
"売掛金","(株)カナヤ商事","群馬県太田区細谷町1200-3","163350",""
"売掛金","大真工和(株)","豊橋市野田町字野田137ー1","140712",""
"売掛金","(株)MIKAMI","埼玉県所沢市林1-299-7","97900",""
"売掛金","ポリマー機械商事(株)","豊橋市飯村北4-8-28","92400",""
"売掛金","(株)扶桑マシンツール","新潟市中央区鐙西2-29-12","51150",""
"売掛金","三章エンジニアリング(株)","名古屋市東区代官町39-17","50050",""
"売掛金","(株)CJVインターナショナル","名古屋市緑区大高町下塩田18","45320",""
"売掛金","(株)共栄紹介","三重県桑名市三宮通り19","41250",""
"売掛金","(株)旭金属工業所","滋賀県犬上郡多賀町敏満寺626","31588",""
"売掛金","(株)オンダ製作所関工場","関市広見851-3","31515",""
"売掛金","協伸精機(株)","長野県千曲市大字内川70","29150",""
"売掛金","イワイ機械(株)","埼玉県上尾市緑丘2-7-19","12650",""
"計","","","",""
