科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)ヤマダホームズ,群馬県高崎市栄町1-1,9300058,
売掛金,(株)デザインテクノス,神奈川県横浜市西区楠町16-1CITYBLDG2F,9240743,
売掛金,(株)花英,神奈川県小田原市中町1-5-12-1F,9167701,
売掛金,新日本ホームズ(株),福岡県北九州市八幡西区折尾3-3-22折尾メディカルビル3F,9003743,
売掛金,(株)プライムトラス,東京都江東区木場2-15-12,8607079,
売掛金,川木建設(株),埼玉県川越市広栄町4-16,7932358,
売掛金,ジャパン建材(株),千葉県印西市松崎台1-2-20,7922523,
売掛金,(株)ナック,東京都新宿区西新宿1-25-1,7861092,
売掛金,エスオーユーホールディングス(株),東京都台東区根岸3-18-20,7805380,
売掛金,スターホーム(株),神奈川県三浦郡葉山町上山口1431-1,7345800,
売掛金,矢島建設工業(株),神奈川県横浜市神奈川区三ツ沢下町9-26ドエル三ツ沢2F,7095674,
売掛金,ロビンスジャパン(株),千葉県八千代市勝田台北2-13-1須田ビル1階,7094983,
売掛金,(株)大藪組,福岡県筑後市長浜2043-1,6985000,
売掛金,(株)日新建設,千葉県習志野市谷津5-5-2,6663962,
売掛金,(株)ホワイトハウス,神奈川県横浜市磯子区岡村4-27-16,6599000,
売掛金,秋田建設工業(株),千葉県千葉市稲毛区山王町134,6445780,
売掛金,(株)bondhome,埼玉県川口市西青木5-10-17コアハウス101,6366500,
売掛金,(株)東昭建設,栃木県矢板市扇町2-5-18,6270000,
売掛金,西武建設(株),埼玉県所沢市くすのき台1-11-2,6030639,
売掛金,ポラテック西日本(株),佐賀県唐津市佐志浜町4525-4,5682978,
売掛金,大東建託(株),東京都港区港南2-16-1,5476572,
売掛金,(株)創建,大分県別府市浜町14番2号創建ビル3階,5368000,
売掛金,(株)ブイホーム,福岡県北九州市戸畑区西鞘ケ谷町5-38,5269000,
売掛金,(株)ネクスト,千葉県船橋市本町6-21-181F,5171485,
売掛金,網中木材(株),東京都江東区新木場2-4-4,4775993,
売掛金,大和ハウジング(株),茨城県鹿嶋市荒野1533-179,4703600,
計,,,,
