"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","","","5490485",""
"","(株)BaseProsper","山口市矢原1294-2","6257891",""
"","(株)ショウブ空設","萩市明木294-6","509696",""
"","(株)ショウマ","山口県防府市大字鈴屋字宮の馬場811-1","1894030",""
"","(株)山崎建設","山口市小郡下郷2691","1870000",""
"","(株)宮六工務店","山口県美祢市美東町真名495-3","7518575",""
"","不二産業(株)","山口県下松市葉山2丁目904-19","7172000",""
"","サン電子工業(株)下関","下関市大字石原字上岡168","9247260",""
"","(株)千手","萩市呉服町1丁目33-1","17541603",""
"","アクア設備","増田氏久々茂町イ648-2","508546",""
"","","","506000",""
"","(有)いずみメデイカル","山口市泉町8-23","1232000",""
"","","","926200",""
"","","","649000",""
"","","","3014000",""
"","中国電力(株)","萩市椿字沖田2103","190554","売電収入"
"","小口売掛金明細","","38520734",""
"","サラダ館明細","","660481",""
"","売掛金計","","376248592",""
"計","","","",""
