"名称(氏名)","所在地(住所)","期末現在高","摘要"
"高信化学(株)埼玉支店","埼玉県熊谷市佐谷田1237-1","770000",""
"(株)小林","伊勢崎市八寸町4760","4510",""
"サーモフィッシャーサイエンティフィック(株)","神奈川県横浜市神奈川区守屋町3-","1075800",""
"埼原リサイクル(有)","埼玉県深谷市折之口1957","81400",""
"(株)サンプラネット美里事業所","埼玉県児玉郡美里町大字広木字後山玉704","57200",""
"デンカエラストリューション(株)","高崎市小八木町306","168300",""
"グローバルピッグファーム(株)","渋川市北橘町上箱田800","1430000",""
"澁澤倉庫(株)","東京都江東区永代2丁目37-28","23100",""
"上越鋼業(株)","高崎市上豊岡町560-10","2915000",""
"(株)上武本社","埼玉県秩父郡皆野町大字金沢3085-1","214500",""
"昭和インク工業(株)埼玉工場","埼玉県比企郡嵐山町花見台9","24200",""
"(株)新進総社工場","前橋市高井町1-6","122320",""
"(株)新進利根川工場","前橋市新堀町399-8","139700",""
"(有)新宮リサイクルセンタ","栃木県栃木市大光寺1123","55000",""
"新富士化成薬(株)高崎工場","高崎市大八木町888","6600",""
"スターテング工業(株)高崎工場","高崎市大八木町777","11000",""
"SKマテリアル(株)五明工場","埼玉県児玉郡上里町五明377-1","14300",""
"SKマテリアル(株)吾野鉱業所","埼玉県飯能市坂石125-1","204710",""
"(株)関商店東京事業所","東京都大田区京浜島2-14-9","77000",""
"セツナン化成(株)","栃木県真岡市鬼怒ヶ丘18-4","59400",""
"ソーラメタル(株)","前橋市駒形町1344-1","22000",""
"太平洋エンジニアリング(株)","埼玉県深谷市藩羅町1-11-2","2112000",""
"太平洋セメント(株)セメント営業部","東京都港区台場2-3-5","1155000",""
"太平洋セメント(株)関東支店","高崎市八島町58-1","8140000",""
"太平洋マテリアル(株)中部支店","愛知県名古屋市中村区太閤3-1-18","19250",""
"大同特殊鋼(株)","愛知県名古屋市東区東桜1-1-10","550000",""
"高橋商事(株)本社工場","茨城県筑西市横島135","275000",""
"高橋商事(株)宇都宮営業所","栃木県宇都宮市下岡本町1801-2","275000",""
"高崎森永(株)","高崎市宮原町2-1","1023000",""
"小計","","",""
