科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,渡辺パイプ(株),札幌市西区西野6条9丁目1-1,11201173,
〃,(株)藤井工務店,札幌市北区新琴似7条17丁目4-3,9307854,
〃,(株)ジェイウッド KUNIMOKU HOUSE事業部,札幌市豊平区豊平2条11丁目1-24,9144368,
〃,(有)三邦工務店,江別市緑ヶ丘9-19,8722298,
〃,(株)リヨ・デ・ホーム,札幌市白石区北郷3条9丁目1-26,6230473,
〃,(株)クワザワ,札幌市白石区中央2条7丁目1-1,4916010,
〃,北海広葉木材(株),札幌市白石区東札幌3条1丁目2-22,4902938,
〃,丸惣ウッド(有),札幌市東区北36条東7丁目1-7,3599071,
〃,(有)近藤産業,札幌市西区西野1条6丁目4-22,3337170,
〃,大鎮 キムラ建設(株),苫小牧市日吉町1丁目4-6,3221219,
〃,(株)ナガワ,札幌市東区東雁来3条1丁目1-12,3071235,
〃,(株)ミツヤ,札幌市白石区北郷2条4丁目6-27,2856480,
〃,(有)ヤマト,札幌市白石区東米里2053-40,2849299,
〃,(株)ホーマサトウ,札幌市白石区菊水7条4丁目1-17,2693038,
〃,岩倉建材(株),札幌市豊平区豊平6条8丁目1-11,2265846,
〃,(株)マツウラ,札幌市白石区菊水9条4丁目3-22,2193935,
〃,(株)リノア,札幌市清田区真栄4条3丁目10-25,2151270,
〃,物林(株),札幌市中央区北3条西2丁目10-2,2106288,
〃,(株)ウッディークラフト,釧路郡釧路町曙1丁目2-10,2096369,
〃,(株)札幌山水,札幌市西区八軒9条西5丁目2-12,1976217,
〃,(株)ハウジング高橋,札幌市白石区菊水元町2条5丁目3-21,1774309,
〃,(株)アートホーム,札幌市南区南30条西8丁目5-1,1702976,
〃,イーグルホーム(株),千歳市みどり台北1丁目7-6,1629100,
〃,竹内建設(株),札幌市豊平区月寒東1条18丁目1-35,1572059,
〃,(株)ユニバーサルホーム,札幌市豊平区豊平1条10丁目,1520825,
〃,(株)フォレスタ,札幌市中央区宮の森3条10丁目3-15,1345958,
計,,,,
