科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(株)竹生家具興業,札幌市東区東雁来町376-2,485464,
〃,(株)プレスボード,石狩市新港西2丁目786-1,449801,
〃,蝦夷工業(株),札幌市白石区平和通6丁目南3-4,418559,
〃,(有)総合リフォーム,札幌市白石区北郷7条9丁目6-7,414018,
〃,(株)山田四郎松商店,旭川市曙1条1丁目2-8,407762,
〃,W(株),札幌市西区山の手2条12丁目10-1,394642,
〃,北欧建設(株),札幌市中央区北4条西20丁目2-1,385968,
〃,池端住宅建設(株),札幌市北区新琴似7条10丁目2-11,374473,
〃,北晃建材(株),苫小牧市柳町1丁目5-7,373725,
〃,(有)前ホーム,札幌市北区篠路3条5丁目4-12,344301,
〃,(株)HGサポート,札幌市南区澄川6条3丁目3-12,340357,
〃,シンコール(株),札幌市中央区南1条東6丁目1-1,329928,
〃,ウッドプランニング(株),札幌市西区発寒6条11丁目9-10,329283,
〃,(有)エスアイ,旭川市新富2条2丁目3-13,315035,
〃,(株)カイトー商会,釧路市昭和南4-25-17,311300,
〃,西尾木材(株),札幌市白石区菊水2条1丁目2-5,308399,
〃,(株)近藤組,札幌市中央区南25条西13丁目1-31,295438,
〃,長谷川建設(株),石狩市当別町対雁3-11,284580,
〃,(株)柴田ベニヤ商会,札幌市東区東苗穂3条1丁目12-18,282944,
〃,相互建材工業(株),恵庭市戸磯347-7,282590,
〃,(株)三五工務店,札幌市北区北34条西10丁目6-21,282392,
〃,(株)創和,札幌市豊平区西岡3条1丁目1-6,279066,
〃,(株)ニヘイ,札幌市西区宮の沢1条1丁目1-30,267558,
〃,イワタニセントラル北海道(株),札幌市白石区中央1条4丁目3-76,253862,
〃,(株)エルム電気商会,札幌市白石区中央3条3丁目97,252945,
〃,(株)三浦建業,札幌市北区新川2条5丁目7-21,250800,
計,,,,
