科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)創建建設,神奈川県横浜市中区尾上町4-54Kannaiex7F,1560299,
売掛金,(株)沿線ハウジング,神奈川県横浜市旭区二俣川1-45-113,1534546,
売掛金,(株)雅建装,神奈川県藤沢市善行5-7-12,1502545,
売掛金,阪和興業(株),東京都中央区銀座6-18-2,1242085,
売掛金,(株)清水工務店,千葉県柏市南増尾2-7-28,1124072,
売掛金,(株)篠原商店本社,東京都練馬区下石神井5-13-2,1079245,
売掛金,(株)LIXIL住宅研究所,東京都江東区大島2-1-1,1065636,
売掛金,(株)マルサン,福島県二本松市成田字柏崎214,1034352,
売掛金,山元建設(株),福岡県遠賀郡岡垣町糠塚1325-12,1024453,
売掛金,(有)住田ホーム,宮城県宮城郡利府町加瀬字大十三塚19番地16,922974,
売掛金,(株)ホクザイ,福岡県北九州市小倉北区西港町72番地24,898207,
売掛金,(株)ミツワハウステック,栃木県佐野市植野町1953-1,876150,
売掛金,森林商事(株),千葉県柏市高田1280,835888,
売掛金,(株)テンサン,千葉県八街市八街は49-9,761226,
売掛金,(株)光電気,神奈川県座間市相武台4-14-21,654500,
売掛金,ナイス(株),神奈川県横浜市鶴見区鶴見中央4-33-1,646978,
売掛金,(株)星工務店,茨城県龍ケ崎市貝原塚町2953-8,637452,
売掛金,(株)シーウッド,茨城県笠間市旭町541-3,531806,
売掛金,その他,,5046222,
計,,,2597967824,
