科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(株)丹波屋,札幌市東区北6条東4丁目1-7,1324298,
〃,泰平建材(株),札幌市東区東苗穂5条2丁目6-21,1304048,
〃,(株)CtoCグループ,旭川市永山14条3丁目4-13,1287110,
〃,(株)高橋総業,札幌市白石区北郷3条1丁目2-28,1162604,
〃,北日本産商(株),苫小牧市三光町5丁目24-20,1123320,
〃,(株)ソレイュの家,苫小牧市ときわ町2丁目22-11,1072500,
〃,(有)今家具製作所,札幌市東区北46条東16丁目1-30,1044294,
〃,三上建設(株),札幌市中央区北6条西18丁目1,962508,
〃,月寒建材工業(株),札幌市清田区清田1条1丁目9-12,957770,
〃,日本クリエート(株),札幌市白石区菊水上町3条2丁目52,953938,
〃,昭和マテリアル(株),岩見沢市上幌向542-7,872080,
〃,(株)メタリック,札幌市白石区菊水上町3条3丁目52-18,862400,
〃,三洋工業(株)北海道支店,札幌市白石区米里3条2丁目7-1,838368,
〃,札幌軸受工具(株),札幌市東区伏古4条2丁目1-2,825414,
〃,(株)村田塗料店,札幌市北区新川西2条1丁目1-14,814187,
〃,(有)吉田住建,札幌市北区新川4条5丁目4-17,771144,
〃,伊東テック(株),北広島市大曲256-74,668848,
〃,(株)and craft,札幌市南区真駒内本町6丁目1-1,667282,
〃,北ガスフレアスト北(株),札幌市東区北7条東6丁目18-21,662761,
〃,(有)金野木材店,札幌市豊平区豊平5条10丁目2-12,597421,
〃,末永設備,石狩市花川南3条1丁目62,589068,
〃,TOTO北海道販売(株),札幌市中央区北1条東10丁目15-46,561347,
〃,ホクセイ商事(株),千歳市北斗6丁目6-13,552304,
〃,(有)ビルダー石井,札幌市南区藤野5条8丁目13-27,534650,
〃,(株)高橋建設,札幌市北区北23条西3丁目1-10,532913,
〃,双葉商事(株),様似郡様似町大通1丁目18,495495,
計,,,,
