"名称(氏名)","所在地(住所)","期末現在高","摘要"
"近江度量衡(株)東京営業所","東京都千代田区神田松永町23","5483500",""
"(株)クボタ計装東関東支店サポートセンタ","東京都江東区亀戸7-3-2","212300",""
"(株)クボタ計装北関東営業所","埼玉県さいたま市桜区西堀5-2-36","38500",""
"(株)クボタ計装東京支社","東京都中央区京橋2-1-3","226600",""
"ザルトリウス・ジャパン(株)技術センター","東京都新宿区市谷砂土原町1-2-34","610500",""
"JFEアドバンテック(株)","兵庫県西宮市高畑町3-48","1892000",""
"(株)寺岡製作所佐野工場","栃木県佐野市栄町12-1","328900",""
"(株)寺岡製作所茨城工場","茨城県北茨木市中郷町日棚644-16","440000",""
"ミネベアミツミ(株)(藤沢工場資材)","神奈川県藤沢市片瀬1-1-1","6527400",""
"メトラー・トレド(株)","東京都台東区池之端2-9-7","5061100",""
"(株)オリエンテック","埼玉県深谷市榛沢新田161","321200",""
"赤城酪農業協同組合連合会","前橋市二之宮町1448","165000",""
"赤堀養鶏組合高山農場","吾妻郡高山村尻高4468","44000",""
"大泉町外二町環境衛生施設組合","邑楽郡大泉町上小泉330","6136900",""
"川越市","埼玉県川越市元町1-3-1","5665000",""
"甘楽西部環境衛生施設組合","甘楽郡下仁田町下仁田682","110000",""
"埼玉県下水道公社","埼玉県さいたま市桜区田島7-2-23","753500",""
"坂戸市","埼玉県坂戸市千代田1-1-1","1320000",""
"佐野地区衛生施設組合","栃木県佐野市植下町2550","46200",""
"関東地方整備局高崎河川国道事務所","高崎市栄町6-41","655600",""
"高崎市","高崎市高松町35-1","2750",""
"日本海事検定協会","神奈川県川崎市川崎区新川通11-3","110000",""
"(株)赤城商会子持工場","渋川市吹屋1093-4","99000",""
"(株)吾妻バイオパワー","吾妻郡東吾妻町岡崎460-1","14300",""
"浅田製粉(株)群馬工場","甘楽郡甘楽町小幡253","29700",""
"朝日工業(株)埼玉工場","埼玉県児玉郡神川町渡瀬222","2629093",""
"パーカーアサヒ(株)","埼玉県深谷市北根15","5500",""
"朝日アグリア(株)","埼玉県児玉郡神川町渡瀬222","52800",""
"アトミクス(株)久喜工場","埼玉県久喜市菖蒲町昭和沼6","473000",""
"小計","","",""
