"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","山本建設(株)","熊本市西区池田4丁目16-16","8962270",""
"〃","(株)岩永組","熊本市中央区南熊本4丁目8-32","3927847",""
"〃","(有)成徳産業","熊本市東区下南部2丁目10-23","811360",""
"〃","(株)貴総","熊本市南区良町3丁目1番51号","406307",""
"〃","(株)イエヰリ","熊本市北区楠8丁目16-52","284900",""
"〃","(株)吉田企業","宇城市三角町波多1500-2","237600",""
"〃","(株)ダンテック","熊本市東区御領6丁目4番33号","77000",""
"〃","(株)勝美工業","熊本市東区榎町15番97号","25682",""
"〃","土佐屋コンクリート工業(株)","熊本市中央区坪井6丁目38番15号建峰ビル6F","1870",""
"","","売掛金計","14734836",""
"完成工事未収入金","(株)宮田建設","宇城市不知火町高良2527","29150000",""
"〃","(株)公成商事","長崎県諫早市小野島町2358-1","9900000",""
"〃","(株)森工業","阿蘇市黒川1347","9130000",""
"〃","柄本鉄筋工業","福岡県糸島市波多江駅南2-11-1","1072500",""
"〃","(株)高橋建設","宇城市松橋町松橋1028","319550",""
"","","完成工事未収入金計","49572050",""
"未収入金","","","358956","未収利息"
"〃","","","88452","未収利息"
"〃","","","1283","未収利息"
"","","未収入金計","448691",""
"計","","","64755577",""
