ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number,calculation_name_original,calculation_name,partner_name_original,partner_name,partner_location_original,partner_location,partner_location_prefecture,partner_location_city,partner_location_town,partner_location_block,partner_com_code,partner_com_code_status_id,partner_comcd_relation_source_type_id,partner_exist_comcd_relation_history_id,balance_original,balance,description_original,description
20250722135200020,1,1,001,000003,202507,,売掛金,売掛金,(株)丹波屋,(株)丹波屋,札幌市東区北6条東4丁目1-7,札幌市東区北6条東4丁目1-7,,,,,3135,,,,1324298,1324298,,
20250722135200020,1,2,001,000003,202507,,売掛金,売掛金,泰平建材(株),泰平建材(株),札幌市東区東苗穂5条2丁目6-21,札幌市東区東苗穂5条2丁目6-21,,,,,3167,,,,1304048,1304048,,
20250722135200020,1,3,001,000003,202507,,売掛金,売掛金,(株)CtoCグループ,(株)CtoCグループ,旭川市永山14条3丁目4-13,旭川市永山14条3丁目4-13,,,,,3119,,,,1287110,1287110,,
20250722135200020,1,4,001,000003,202507,,売掛金,売掛金,(株)高橋総業,(株)高橋総業,札幌市白石区北郷3条1丁目2-28,札幌市白石区北郷3条1丁目2-28,,,,,3128,,,,1162604,1162604,,
20250722135200020,1,5,001,000003,202507,,売掛金,売掛金,北日本産商(株),北日本産商(株),苫小牧市三光町5丁目24-20,苫小牧市三光町5丁目24-20,,,,,3134,,,,1123320,1123320,,
20250722135200020,1,6,001,000003,202507,,売掛金,売掛金,(株)ソレイュの家,(株)ソレイュの家,苫小牧市ときわ町2丁目22-11,苫小牧市ときわ町2丁目22-11,,,,,3285,,,,1072500,1072500,,
20250722135200020,1,7,001,000003,202507,,売掛金,売掛金,(有)今家具製作所,(有)今家具製作所,札幌市東区北46条東16丁目1-30,札幌市東区北46条東16丁目1-30,,,,,3171,,,,1044294,1044294,,
20250722135200020,1,8,001,000003,202507,,売掛金,売掛金,三上建設(株),三上建設(株),札幌市中央区北6条西18丁目1,札幌市中央区北6条西18丁目1,,,,,3273,,,,962508,962508,,
20250722135200020,1,9,001,000003,202507,,売掛金,売掛金,月寒建材工業(株),月寒建材工業(株),札幌市清田区清田1条1丁目9-12,札幌市清田区清田1条1丁目9-12,,,,,3141,,,,957770,957770,,
20250722135200020,1,10,001,000003,202507,,売掛金,売掛金,日本クリエート(株),日本クリエート(株),札幌市白石区菊水上町3条2丁目52,札幌市白石区菊水上町3条2丁目52,,,,,3257,,,,953938,953938,,
20250722135200020,1,11,001,000003,202507,,売掛金,売掛金,昭和マテリアル(株),昭和マテリアル(株),岩見沢市上幌向542-7,岩見沢市上幌向542-7,,,,,3180,,,,872080,872080,,
20250722135200020,1,12,001,000003,202507,,売掛金,売掛金,(株)メタリック,(株)メタリック,札幌市白石区菊水上町3条3丁目52-18,札幌市白石区菊水上町3条3丁目52-18,,,,,3197,,,,862400,862400,,
20250722135200020,1,13,001,000003,202507,,売掛金,売掛金,三洋工業(株)北海道支店,三洋工業(株)北海道支店,札幌市白石区米里3条2丁目7-1,札幌市白石区米里3条2丁目7-1,,,,,3175,,,,838368,838368,,
20250722135200020,1,14,001,000003,202507,,売掛金,売掛金,札幌軸受工具(株),札幌軸受工具(株),札幌市東区伏古4条2丁目1-2,札幌市東区伏古4条2丁目1-2,,,,,3146,,,,825414,825414,,
20250722135200020,1,15,001,000003,202507,,売掛金,売掛金,(株)村田塗料店,(株)村田塗料店,札幌市北区新川西2条1丁目1-14,札幌市北区新川西2条1丁目1-14,,,,,3174,,,,814187,814187,,
20250722135200020,1,16,001,000003,202507,,売掛金,売掛金,(有)吉田住建,(有)吉田住建,札幌市北区新川4条5丁目4-17,札幌市北区新川4条5丁目4-17,,,,,3157,,,,771144,771144,,
20250722135200020,1,17,001,000003,202507,,売掛金,売掛金,伊東テック(株),伊東テック(株),北広島市大曲256-74,北広島市大曲256-74,,,,,3218,,,,668848,668848,,
20250722135200020,1,18,001,000003,202507,,売掛金,売掛金,(株)and craft,(株)and craft,札幌市南区真駒内本町6丁目1-1,札幌市南区真駒内本町6丁目1-1,,,,,3194,,,,667282,667282,,
20250722135200020,1,19,001,000003,202507,,売掛金,売掛金,北ガスフレアスト北(株),北ガスフレアスト北(株),札幌市東区北7条東6丁目18-21,札幌市東区北7条東6丁目18-21,,,,,3286,,,,662761,662761,,
20250722135200020,1,20,001,000003,202507,,売掛金,売掛金,(有)金野木材店,(有)金野木材店,札幌市豊平区豊平5条10丁目2-12,札幌市豊平区豊平5条10丁目2-12,,,,,3224,,,,597421,597421,,
20250722135200020,1,21,001,000003,202507,,売掛金,売掛金,末永設備,末永設備,石狩市花川南3条1丁目62,石狩市花川南3条1丁目62,,,,,3163,,,,589068,589068,,
20250722135200020,1,22,001,000003,202507,,売掛金,売掛金,TOTO北海道販売(株),TOTO北海道販売(株),札幌市中央区北1条東10丁目15-46,札幌市中央区北1条東10丁目15-46,,,,,3184,,,,561347,561347,,
20250722135200020,1,23,001,000003,202507,,売掛金,売掛金,ホクセイ商事(株),ホクセイ商事(株),千歳市北斗6丁目6-13,千歳市北斗6丁目6-13,,,,,3151,,,,552304,552304,,
20250722135200020,1,24,001,000003,202507,,売掛金,売掛金,(有)ビルダー石井,(有)ビルダー石井,札幌市南区藤野5条8丁目13-27,札幌市南区藤野5条8丁目13-27,,,,,3164,,,,534650,534650,,
20250722135200020,1,25,001,000003,202507,,売掛金,売掛金,(株)高橋建設,(株)高橋建設,札幌市北区北23条西3丁目1-10,札幌市北区北23条西3丁目1-10,,,,,3179,,,,532913,532913,,
20250722135200020,1,26,001,000003,202507,,売掛金,売掛金,双葉商事(株),双葉商事(株),様似郡様似町大通1丁目18,様似郡様似町大通1丁目18,,,,,3287,,,,495495,495495,,
